event_id,timestamp,event_type,device,user,source,source_ref,logon_type,source_ip,source_device,action,failure_reason
evt-000133,2026-08-17T08:22:06+0000,logon,FS02,mrossi,synthetic,,3,10.10.20.16,PC02,success,
evt-000138,2026-08-17T08:23:38+0000,logon,PC07,adm_sarah,synthetic,,2,10.10.20.21,PC07,failure,bad_password
evt-000140,2026-08-17T08:23:48+0000,logon,APP01,jdoe,synthetic,,3,10.10.20.15,PC01,success,
evt-000141,2026-08-17T08:23:49+0000,logon,PC07,adm_sarah,synthetic,,2,10.10.20.21,PC07,success,
evt-000147,2026-08-17T08:25:06+0000,logon,APP01,mrossi,synthetic,,3,10.10.20.16,PC02,success,
evt-000148,2026-08-17T08:25:37+0000,logon,PC03,achen,synthetic,,2,10.10.20.17,PC03,success,
evt-000149,2026-08-17T08:26:21+0000,logon,PC07,adm_sarah,synthetic,,2,10.10.20.21,PC07,success,
evt-000152,2026-08-17T08:26:39+0000,logon,FS02,achen,synthetic,,3,10.10.20.17,PC03,success,
evt-000158,2026-08-17T08:28:22+0000,logon,APP01,klarsen,synthetic,,3,10.10.20.19,PC05,success,
evt-000163,2026-08-17T08:29:49+0000,logon,PC01,jdoe,synthetic,,2,10.10.20.15,PC01,success,
evt-000171,2026-08-17T08:33:13+0000,logon,FS02,mrossi,synthetic,,3,10.10.20.16,PC02,success,
evt-000173,2026-08-17T08:34:24+0000,logon,FS02,achen,synthetic,,3,10.10.20.17,PC03,success,
evt-000177,2026-08-17T08:35:16+0000,logon,FS02,achen,synthetic,,3,10.10.20.17,PC03,success,
evt-000184,2026-08-17T08:36:00+0000,logon,FS02,mrossi,synthetic,,3,10.10.20.16,PC02,success,
evt-000185,2026-08-17T08:36:19+0000,logon,FS02,klarsen,synthetic,,3,10.10.20.19,PC05,success,
evt-000186,2026-08-17T08:36:26+0000,logon,APP01,adm_sarah,synthetic,,3,10.10.20.21,PC07,success,
evt-000188,2026-08-17T08:36:41+0000,logon,APP01,achen,synthetic,,3,10.10.20.17,PC03,success,
evt-000189,2026-08-17T08:36:47+0000,logon,APP01,klarsen,synthetic,,3,10.10.20.19,PC05,success,
evt-000202,2026-08-17T08:39:35+0000,logon,FS02,mrossi,synthetic,,3,10.10.20.16,PC02,success,
evt-000206,2026-08-17T08:39:58+0000,logon,PC02,mrossi,synthetic,,2,10.10.20.16,PC02,failure,bad_password
evt-000210,2026-08-17T08:40:10+0000,logon,PC02,mrossi,synthetic,,2,10.10.20.16,PC02,success,
evt-000214,2026-08-17T08:41:17+0000,logon,APP01,mrossi,synthetic,,3,10.10.20.16,PC02,success,
evt-000225,2026-08-17T08:44:36+0000,logon,APP01,jdoe,synthetic,,3,10.10.20.15,PC01,success,
evt-000226,2026-08-17T08:44:45+0000,logon,FS02,mrossi,synthetic,,3,10.10.20.16,PC02,success,
evt-000229,2026-08-17T08:45:49+0000,logon,DC01,svc_backup,synthetic,,5,10.10.10.30,APP01,success,
evt-000230,2026-08-17T08:46:02+0000,logon,APP01,klarsen,synthetic,,3,10.10.20.19,PC05,success,
evt-000235,2026-08-17T08:46:56+0000,logon,APP01,achen,synthetic,,3,10.10.20.17,PC03,success,
evt-000239,2026-08-17T08:47:38+0000,logon,FS02,klarsen,synthetic,,3,10.10.20.19,PC05,success,
evt-000241,2026-08-17T08:47:57+0000,logon,FS02,achen,synthetic,,3,10.10.20.17,PC03,success,
evt-000243,2026-08-17T08:48:37+0000,logon,FS02,achen,synthetic,,3,10.10.20.17,PC03,success,
evt-000244,2026-08-17T08:48:38+0000,logon,APP01,adm_sarah,synthetic,,3,10.10.20.21,PC07,success,
evt-000247,2026-08-17T08:49:44+0000,logon,APP01,achen,synthetic,,3,10.10.20.17,PC03,success,
evt-000255,2026-08-17T08:50:37+0000,logon,APP01,mrossi,synthetic,,3,10.10.20.16,PC02,success,
evt-000259,2026-08-17T08:50:50+0000,logon,FS02,klarsen,synthetic,,3,10.10.20.19,PC05,success,
evt-000265,2026-08-17T08:52:23+0000,logon,FS02,adm_sarah,synthetic,,3,10.10.20.21,PC07,success,
evt-000271,2026-08-17T08:54:16+0000,logon,FS02,mrossi,synthetic,,3,10.10.20.16,PC02,success,
evt-000272,2026-08-17T08:54:26+0000,logon,APP01,jdoe,synthetic,,3,10.10.20.15,PC01,success,
evt-000277,2026-08-17T08:55:27+0000,logon,APP01,klarsen,synthetic,,3,10.10.20.19,PC05,success,
evt-000279,2026-08-17T08:55:46+0000,logon,APP01,klarsen,synthetic,,3,10.10.20.19,PC05,success,
evt-000281,2026-08-17T08:56:15+0000,logon,DC01,svc_backup,synthetic,,5,10.10.10.30,APP01,success,
evt-000291,2026-08-17T08:59:10+0000,logon,APP01,mrossi,synthetic,,3,10.10.20.16,PC02,success,
evt-000292,2026-08-17T08:59:12+0000,logon,APP01,jdoe,synthetic,,3,10.10.20.15,PC01,success,
evt-000295,2026-08-17T09:00:14+0000,logon,APP01,adm_sarah,synthetic,,3,10.10.20.21,PC07,success,
evt-000302,2026-08-17T09:00:59+0000,logon,FS02,achen,synthetic,,3,10.10.20.17,PC03,success,
evt-000313,2026-08-17T09:02:44+0000,logon,PC03,achen,synthetic,,2,10.10.20.17,PC03,failure,bad_password
evt-000312,2026-08-17T09:02:44+0000,logon,APP01,klarsen,synthetic,,3,10.10.20.19,PC05,success,
evt-000314,2026-08-17T09:02:55+0000,logon,PC03,achen,synthetic,,2,10.10.20.17,PC03,success,
evt-000321,2026-08-17T09:04:31+0000,logon,FS02,jdoe,synthetic,,3,10.10.20.15,PC01,success,
evt-000327,2026-08-17T09:06:18+0000,logon,APP01,mrossi,synthetic,,3,10.10.20.16,PC02,success,
evt-000333,2026-08-17T09:07:51+0000,logon,APP01,jdoe,synthetic,,3,10.10.20.15,PC01,success,
evt-000337,2026-08-17T09:08:27+0000,logon,APP01,klarsen,synthetic,,3,10.10.20.19,PC05,success,
evt-000338,2026-08-17T09:08:33+0000,logon,APP01,klarsen,synthetic,,3,10.10.20.19,PC05,success,
evt-000340,2026-08-17T09:08:43+0000,logon,APP01,mrossi,synthetic,,3,10.10.20.16,PC02,success,
evt-000341,2026-08-17T09:08:57+0000,logon,APP01,achen,synthetic,,3,10.10.20.17,PC03,success,
evt-000365,2026-08-17T09:14:37+0000,logon,APP01,klarsen,synthetic,,3,10.10.20.19,PC05,success,
evt-000366,2026-08-17T09:14:41+0000,logon,FS02,achen,synthetic,,3,10.10.20.17,PC03,success,
evt-000376,2026-08-17T09:15:59+0000,logon,APP01,klarsen,synthetic,,3,10.10.20.19,PC05,success,
evt-000383,2026-08-17T09:19:20+0000,logon,FS02,achen,synthetic,,3,10.10.20.17,PC03,success,
evt-000384,2026-08-17T09:19:59+0000,logon,APP01,jdoe,synthetic,,3,10.10.20.15,PC01,success,
evt-000386,2026-08-17T09:20:43+0000,logon,APP01,mrossi,synthetic,,3,10.10.20.16,PC02,success,
evt-000392,2026-08-17T09:21:48+0000,logon,FS02,klarsen,synthetic,,3,10.10.20.19,PC05,success,
evt-000396,2026-08-17T09:22:31+0000,logon,APP01,mrossi,synthetic,,3,10.10.20.16,PC02,success,
evt-000405,2026-08-17T09:24:17+0000,logon,FS02,jdoe,synthetic,,3,10.10.20.15,PC01,success,
evt-000410,2026-08-17T09:26:06+0000,logon,FS02,jdoe,synthetic,,3,10.10.20.15,PC01,success,
evt-000419,2026-08-17T09:28:00+0000,logon,FS02,svc_backup,synthetic,,3,10.10.20.15,PC01,failure,bad_password
evt-000422,2026-08-17T09:28:11+0000,logon,FS02,svc_backup,synthetic,,3,10.10.20.15,PC01,failure,bad_password
evt-000425,2026-08-17T09:28:22+0000,logon,FS02,svc_backup,synthetic,,3,10.10.20.15,PC01,failure,bad_password
evt-000427,2026-08-17T09:28:33+0000,logon,FS02,svc_backup,synthetic,,3,10.10.20.15,PC01,failure,bad_password
evt-000429,2026-08-17T09:28:44+0000,logon,FS02,svc_backup,synthetic,,3,10.10.20.15,PC01,failure,bad_password
evt-000431,2026-08-17T09:28:55+0000,logon,FS02,svc_backup,synthetic,,3,10.10.20.15,PC01,failure,bad_password
evt-000432,2026-08-17T09:29:06+0000,logon,FS02,svc_backup,synthetic,,3,10.10.20.15,PC01,failure,bad_password
evt-000433,2026-08-17T09:29:17+0000,logon,FS02,svc_backup,synthetic,,3,10.10.20.15,PC01,failure,bad_password
evt-000434,2026-08-17T09:29:20+0000,logon,APP01,mrossi,synthetic,,3,10.10.20.16,PC02,success,
evt-000437,2026-08-17T09:29:28+0000,logon,FS02,svc_backup,synthetic,,3,10.10.20.15,PC01,failure,bad_password
evt-000438,2026-08-17T09:29:39+0000,logon,FS02,svc_backup,synthetic,,3,10.10.20.15,PC01,failure,bad_password
evt-000439,2026-08-17T09:29:50+0000,logon,FS02,svc_backup,synthetic,,3,10.10.20.15,PC01,failure,bad_password
evt-000440,2026-08-17T09:30:01+0000,logon,FS02,svc_backup,synthetic,,3,10.10.20.15,PC01,failure,bad_password
evt-000442,2026-08-17T09:30:12+0000,logon,FS02,svc_backup,synthetic,,3,10.10.20.15,PC01,failure,bad_password
evt-000444,2026-08-17T09:30:23+0000,logon,FS02,svc_backup,synthetic,,3,10.10.20.15,PC01,failure,bad_password
evt-000446,2026-08-17T09:30:47+0000,logon,FS02,jdoe,synthetic,,3,10.10.20.15,PC01,success,
evt-000449,2026-08-17T09:32:02+0000,logon,FS02,jdoe,synthetic,,3,10.10.20.15,PC01,success,
evt-000450,2026-08-17T09:32:20+0000,logon,FS02,adm_sarah,synthetic,,3,10.10.20.21,PC07,success,
evt-000451,2026-08-17T09:32:22+0000,logon,APP01,klarsen,synthetic,,3,10.10.20.19,PC05,success,
evt-000453,2026-08-17T09:32:52+0000,logon,APP01,achen,synthetic,,3,10.10.20.17,PC03,success,
evt-000457,2026-08-17T09:33:47+0000,logon,FS02,svc_backup,synthetic,,3,10.10.20.15,PC01,success,
evt-000458,2026-08-17T09:33:50+0000,logon,APP01,jdoe,synthetic,,3,10.10.20.15,PC01,success,
evt-000459,2026-08-17T09:34:06+0000,logon,APP01,svc_backup,synthetic,,5,10.10.10.30,APP01,success,
evt-000465,2026-08-17T09:35:03+0000,logon,APP01,jdoe,synthetic,,3,10.10.20.15,PC01,success,
evt-000471,2026-08-17T09:35:48+0000,logon,APP01,adm_sarah,synthetic,,3,10.10.20.21,PC07,success,
evt-000473,2026-08-17T09:36:03+0000,logon,FS02,achen,synthetic,,3,10.10.20.17,PC03,success,
evt-000478,2026-08-17T09:36:22+0000,logon,FS02,klarsen,synthetic,,3,10.10.20.19,PC05,success,
evt-000484,2026-08-17T09:37:57+0000,logon,FS02,mrossi,synthetic,,3,10.10.20.16,PC02,success,
evt-000488,2026-08-17T09:38:45+0000,logon,APP01,mrossi,synthetic,,3,10.10.20.16,PC02,success,
evt-000489,2026-08-17T09:39:05+0000,logon,APP01,klarsen,synthetic,,3,10.10.20.19,PC05,success,
evt-000492,2026-08-17T09:40:11+0000,logon,FS02,mrossi,synthetic,,3,10.10.20.16,PC02,success,
evt-000499,2026-08-17T09:41:25+0000,logon,APP01,adm_sarah,synthetic,,3,10.10.20.21,PC07,success,
evt-000504,2026-08-17T09:42:59+0000,logon,APP01,klarsen,synthetic,,3,10.10.20.19,PC05,success,
evt-000509,2026-08-17T09:43:54+0000,logon,APP01,adm_sarah,synthetic,,3,10.10.20.21,PC07,success,
evt-000510,2026-08-17T09:44:15+0000,logon,FS02,achen,synthetic,,3,10.10.20.17,PC03,success,
evt-000512,2026-08-17T09:44:41+0000,logon,APP01,adm_sarah,synthetic,,3,10.10.20.21,PC07,success,
evt-000526,2026-08-17T09:47:45+0000,logon,FS02,klarsen,synthetic,,3,10.10.20.19,PC05,success,
evt-000529,2026-08-17T09:49:08+0000,logon,FS02,adm_sarah,synthetic,,3,10.10.20.21,PC07,success,
evt-000532,2026-08-17T09:49:39+0000,logon,FS02,mrossi,synthetic,,3,10.10.20.16,PC02,success,
evt-000535,2026-08-17T09:50:46+0000,logon,APP01,jdoe,synthetic,,3,10.10.20.15,PC01,success,
evt-000544,2026-08-17T09:52:39+0000,logon,FS02,adm_sarah,synthetic,,3,10.10.20.21,PC07,success,
evt-000547,2026-08-17T09:53:30+0000,logon,APP01,achen,synthetic,,3,10.10.20.17,PC03,success,
evt-000556,2026-08-17T09:56:46+0000,logon,PC05,klarsen,synthetic,,2,10.10.20.19,PC05,failure,bad_password
evt-000560,2026-08-17T09:57:06+0000,logon,PC05,klarsen,synthetic,,2,10.10.20.19,PC05,success,
evt-000564,2026-08-17T09:57:44+0000,logon,FS02,achen,synthetic,,3,10.10.20.17,PC03,success,
evt-000572,2026-08-17T09:59:40+0000,logon,APP01,adm_sarah,synthetic,,3,10.10.20.21,PC07,success,
evt-000574,2026-08-17T09:59:45+0000,logon,FS02,klarsen,synthetic,,3,10.10.20.19,PC05,success,
evt-000576,2026-08-17T10:00:11+0000,logon,FS02,klarsen,synthetic,,3,10.10.20.19,PC05,success,
evt-000579,2026-08-17T10:00:37+0000,logon,FS02,adm_sarah,synthetic,,3,10.10.20.21,PC07,success,
evt-000583,2026-08-17T10:01:23+0000,logon,FS02,klarsen,synthetic,,3,10.10.20.19,PC05,success,
evt-000584,2026-08-17T10:01:28+0000,logon,FS02,adm_sarah,synthetic,,3,10.10.20.21,PC07,success,
evt-000590,2026-08-17T10:03:24+0000,logon,APP01,jdoe,synthetic,,3,10.10.20.15,PC01,success,
evt-000606,2026-08-17T10:07:00+0000,logon,FS02,adm_sarah,synthetic,,3,10.10.20.21,PC07,success,
evt-000609,2026-08-17T10:07:19+0000,logon,APP01,achen,synthetic,,3,10.10.20.17,PC03,success,
evt-000611,2026-08-17T10:07:31+0000,logon,FS02,jdoe,synthetic,,3,10.10.20.15,PC01,success,
evt-000613,2026-08-17T10:08:00+0000,logon,APP01,adm_sarah,synthetic,,3,10.10.20.21,PC07,success,
evt-000616,2026-08-17T10:08:27+0000,logon,APP01,mrossi,synthetic,,3,10.10.20.16,PC02,success,
evt-000617,2026-08-17T10:09:00+0000,logon,DC01,adm_sarah,synthetic,,3,10.10.20.21,PC07,success,
evt-000618,2026-08-17T10:09:06+0000,logon,FS02,mrossi,synthetic,,3,10.10.20.16,PC02,success,
evt-000623,2026-08-17T10:09:47+0000,logon,FS02,mrossi,synthetic,,3,10.10.20.16,PC02,success,
evt-000627,2026-08-17T10:10:34+0000,logon,APP01,klarsen,synthetic,,3,10.10.20.19,PC05,success,
evt-000629,2026-08-17T10:10:40+0000,logon,APP01,svc_sql,synthetic,,5,10.10.10.30,APP01,success,
evt-000630,2026-08-17T10:10:47+0000,logon,APP01,mrossi,synthetic,,3,10.10.20.16,PC02,success,
evt-000631,2026-08-17T10:10:58+0000,logon,FS02,mrossi,synthetic,,3,10.10.20.16,PC02,success,
evt-000632,2026-08-17T10:11:07+0000,logon,APP01,mrossi,synthetic,,3,10.10.20.16,PC02,success,
evt-000635,2026-08-17T10:11:39+0000,logon,FS02,jdoe,synthetic,,3,10.10.20.15,PC01,success,
evt-000637,2026-08-17T10:12:14+0000,logon,APP01,adm_sarah,synthetic,,3,10.10.20.21,PC07,success,
evt-000638,2026-08-17T10:12:16+0000,logon,APP01,adm_sarah,synthetic,,3,10.10.20.21,PC07,success,
evt-000639,2026-08-17T10:12:18+0000,logon,APP01,achen,synthetic,,3,10.10.20.17,PC03,success,
evt-000640,2026-08-17T10:12:26+0000,logon,APP01,adm_sarah,synthetic,,3,10.10.20.21,PC07,success,
evt-000643,2026-08-17T10:13:00+0000,logon,FS02,klarsen,synthetic,,3,10.10.20.19,PC05,success,
evt-000650,2026-08-17T10:15:14+0000,logon,FS02,klarsen,synthetic,,3,10.10.20.19,PC05,success,
evt-000653,2026-08-17T10:15:31+0000,logon,APP01,klarsen,synthetic,,3,10.10.20.19,PC05,success,
evt-000657,2026-08-17T10:16:47+0000,logon,APP01,adm_sarah,synthetic,,3,10.10.20.21,PC07,success,
evt-000670,2026-08-17T10:19:30+0000,logon,APP01,mrossi,synthetic,,3,10.10.20.16,PC02,success,
evt-000675,2026-08-17T10:20:38+0000,logon,APP01,klarsen,synthetic,,3,10.10.20.19,PC05,success,
evt-000681,2026-08-17T10:21:27+0000,logon,APP01,mrossi,synthetic,,3,10.10.20.16,PC02,success,
evt-000684,2026-08-17T10:22:07+0000,logon,APP01,achen,synthetic,,3,10.10.20.17,PC03,success,
evt-000689,2026-08-17T10:22:30+0000,logon,FS02,achen,synthetic,,3,10.10.20.17,PC03,success,
evt-000699,2026-08-17T10:26:14+0000,logon,APP01,adm_sarah,synthetic,,3,10.10.20.21,PC07,success,
evt-000701,2026-08-17T10:26:58+0000,logon,FS02,jdoe,synthetic,,3,10.10.20.15,PC01,success,
evt-000705,2026-08-17T10:27:14+0000,logon,FS02,adm_sarah,synthetic,,3,10.10.20.21,PC07,success,
evt-000708,2026-08-17T10:27:42+0000,logon,APP01,adm_sarah,synthetic,,3,10.10.20.21,PC07,success,
evt-000711,2026-08-17T10:28:58+0000,logon,APP01,achen,synthetic,,3,10.10.20.17,PC03,success,
evt-000714,2026-08-17T10:29:34+0000,logon,FS02,jdoe,synthetic,,3,10.10.20.15,PC01,success,
evt-000715,2026-08-17T10:30:01+0000,logon,FS02,mrossi,synthetic,,3,10.10.20.16,PC02,success,
evt-000727,2026-08-17T10:31:56+0000,logon,APP01,achen,synthetic,,3,10.10.20.17,PC03,success,
evt-000732,2026-08-17T10:33:39+0000,logon,FS02,jdoe,synthetic,,3,10.10.20.15,PC01,success,
evt-000742,2026-08-17T10:37:10+0000,logon,FS02,jdoe,synthetic,,3,10.10.20.15,PC01,success,
evt-000743,2026-08-17T10:37:30+0000,logon,FS02,adm_sarah,synthetic,,3,10.10.20.21,PC07,success,
evt-000749,2026-08-17T10:40:52+0000,logon,FS02,svc_sql,synthetic,,5,10.10.10.30,APP01,success,
evt-000752,2026-08-17T10:41:47+0000,logon,APP01,klarsen,synthetic,,3,10.10.20.19,PC05,success,
evt-000753,2026-08-17T10:41:57+0000,logon,APP01,jdoe,synthetic,,3,10.10.20.15,PC01,success,
evt-000756,2026-08-17T10:42:18+0000,logon,FS02,mrossi,synthetic,,3,10.10.20.16,PC02,success,
evt-000758,2026-08-17T10:42:21+0000,logon,APP01,svc_sql,synthetic,,5,10.10.10.30,APP01,success,
evt-000760,2026-08-17T10:42:28+0000,logon,FS02,achen,synthetic,,3,10.10.20.17,PC03,success,
evt-000763,2026-08-17T10:42:37+0000,logon,FS02,klarsen,synthetic,,3,10.10.20.19,PC05,success,
evt-000766,2026-08-17T10:43:07+0000,logon,APP01,achen,synthetic,,3,10.10.20.17,PC03,success,
evt-000771,2026-08-17T10:44:17+0000,logon,FS02,achen,synthetic,,3,10.10.20.17,PC03,success,
evt-000776,2026-08-17T10:46:02+0000,logon,FS02,achen,synthetic,,3,10.10.20.17,PC03,success,
evt-000778,2026-08-17T10:46:26+0000,logon,APP01,jdoe,synthetic,,3,10.10.20.15,PC01,success,
evt-000782,2026-08-17T10:47:16+0000,logon,APP01,adm_sarah,synthetic,,3,10.10.20.21,PC07,success,
evt-000784,2026-08-17T10:47:29+0000,logon,APP01,achen,synthetic,,3,10.10.20.17,PC03,success,
evt-000785,2026-08-17T10:47:41+0000,logon,FS02,klarsen,synthetic,,3,10.10.20.19,PC05,success,
evt-000786,2026-08-17T10:47:44+0000,logon,FS02,svc_sql,synthetic,,5,10.10.10.30,APP01,success,
evt-000788,2026-08-17T10:47:54+0000,logon,APP01,klarsen,synthetic,,3,10.10.20.19,PC05,success,
evt-000789,2026-08-17T10:48:05+0000,logon,FS02,achen,synthetic,,3,10.10.20.17,PC03,success,
evt-000790,2026-08-17T10:48:15+0000,logon,FS02,adm_sarah,synthetic,,3,10.10.20.21,PC07,success,
evt-000791,2026-08-17T10:48:31+0000,logon,FS02,jdoe,synthetic,,3,10.10.20.15,PC01,success,
evt-000794,2026-08-17T10:49:03+0000,logon,APP01,jdoe,synthetic,,3,10.10.20.15,PC01,success,
evt-000795,2026-08-17T10:49:04+0000,logon,FS02,adm_sarah,synthetic,,3,10.10.20.21,PC07,success,
evt-000798,2026-08-17T10:49:18+0000,logon,APP01,mrossi,synthetic,,3,10.10.20.16,PC02,success,
evt-000806,2026-08-17T10:51:15+0000,logon,APP01,achen,synthetic,,3,10.10.20.17,PC03,success,
evt-000810,2026-08-17T10:51:41+0000,logon,APP01,klarsen,synthetic,,3,10.10.20.19,PC05,success,
evt-000813,2026-08-17T10:52:45+0000,logon,FS02,klarsen,synthetic,,3,10.10.20.19,PC05,success,
evt-000819,2026-08-17T10:53:17+0000,logon,APP01,mrossi,synthetic,,3,10.10.20.16,PC02,success,
evt-000820,2026-08-17T10:53:39+0000,logon,APP01,jdoe,synthetic,,3,10.10.20.15,PC01,success,
evt-000825,2026-08-17T10:55:08+0000,logon,APP01,achen,synthetic,,3,10.10.20.17,PC03,success,
evt-000831,2026-08-17T10:56:00+0000,logon,APP01,adm_sarah,synthetic,,3,10.10.20.21,PC07,success,
evt-000834,2026-08-17T10:56:59+0000,logon,APP01,klarsen,synthetic,,3,10.10.20.19,PC05,success,
evt-000844,2026-08-17T10:59:35+0000,logon,APP01,achen,synthetic,,3,10.10.20.17,PC03,success,
evt-000848,2026-08-17T11:00:50+0000,logon,APP01,jdoe,synthetic,,3,10.10.20.15,PC01,success,
evt-000854,2026-08-17T11:01:31+0000,logon,FS02,adm_sarah,synthetic,,3,10.10.20.21,PC07,success,
evt-000856,2026-08-17T11:01:42+0000,logon,APP01,mrossi,synthetic,,3,10.10.20.16,PC02,success,
evt-000869,2026-08-17T11:06:42+0000,logon,FS02,mrossi,synthetic,,3,10.10.20.16,PC02,success,
evt-000873,2026-08-17T11:06:55+0000,logon,APP01,klarsen,synthetic,,3,10.10.20.19,PC05,success,
evt-000874,2026-08-17T11:06:56+0000,logon,FS02,klarsen,synthetic,,3,10.10.20.19,PC05,success,
evt-000875,2026-08-17T11:06:58+0000,logon,APP01,jdoe,synthetic,,3,10.10.20.15,PC01,success,
evt-000882,2026-08-17T11:08:46+0000,logon,APP01,adm_sarah,synthetic,,3,10.10.20.21,PC07,success,
evt-000885,2026-08-17T11:08:58+0000,logon,APP01,mrossi,synthetic,,3,10.10.20.16,PC02,success,
evt-000888,2026-08-17T11:09:24+0000,logon,FS02,achen,synthetic,,3,10.10.20.17,PC03,success,
evt-000890,2026-08-17T11:10:12+0000,logon,APP01,mrossi,synthetic,,3,10.10.20.16,PC02,success,
evt-000892,2026-08-17T11:10:16+0000,logon,FS02,mrossi,synthetic,,3,10.10.20.16,PC02,success,
evt-000900,2026-08-17T11:11:29+0000,logon,APP01,klarsen,synthetic,,3,10.10.20.19,PC05,success,
evt-000903,2026-08-17T11:12:20+0000,logon,APP01,jdoe,synthetic,,3,10.10.20.15,PC01,success,
evt-000913,2026-08-17T11:13:40+0000,logon,PC01,jdoe,synthetic,,2,10.10.20.15,PC01,failure,bad_password
evt-000917,2026-08-17T11:13:50+0000,logon,PC01,jdoe,synthetic,,2,10.10.20.15,PC01,success,
evt-000919,2026-08-17T11:13:54+0000,logon,FS02,achen,synthetic,,3,10.10.20.17,PC03,success,
evt-000928,2026-08-17T11:15:42+0000,logon,FS02,jdoe,synthetic,,3,10.10.20.15,PC01,success,
evt-000935,2026-08-17T11:16:34+0000,logon,APP01,adm_sarah,synthetic,,3,10.10.20.21,PC07,success,
evt-000936,2026-08-17T11:16:53+0000,logon,APP01,adm_sarah,synthetic,,3,10.10.20.21,PC07,success,
evt-000939,2026-08-17T11:17:41+0000,logon,APP01,achen,synthetic,,3,10.10.20.17,PC03,success,
evt-000942,2026-08-17T11:19:08+0000,logon,FS02,mrossi,synthetic,,3,10.10.20.16,PC02,success,
evt-000949,2026-08-17T11:20:10+0000,logon,APP01,achen,synthetic,,3,10.10.20.17,PC03,success,
evt-000954,2026-08-17T11:20:59+0000,logon,FS02,jdoe,synthetic,,3,10.10.20.15,PC01,success,
evt-000960,2026-08-17T11:21:59+0000,logon,FS02,jdoe,synthetic,,3,10.10.20.15,PC01,success,
evt-000961,2026-08-17T11:22:07+0000,logon,APP01,klarsen,synthetic,,3,10.10.20.19,PC05,success,
evt-000963,2026-08-17T11:23:16+0000,logon,APP01,achen,synthetic,,3,10.10.20.17,PC03,success,
evt-000966,2026-08-17T11:23:40+0000,logon,APP01,achen,synthetic,,3,10.10.20.17,PC03,success,
evt-000967,2026-08-17T11:23:49+0000,logon,APP01,achen,synthetic,,3,10.10.20.17,PC03,success,
evt-000972,2026-08-17T11:25:12+0000,logon,FS02,adm_sarah,synthetic,,3,10.10.20.21,PC07,success,
evt-000976,2026-08-17T11:26:20+0000,logon,APP01,adm_sarah,synthetic,,3,10.10.20.21,PC07,success,
evt-000984,2026-08-17T11:28:04+0000,logon,DC01,svc_sql,synthetic,,5,10.10.10.30,APP01,success,
evt-000985,2026-08-17T11:28:07+0000,logon,FS02,adm_sarah,synthetic,,3,10.10.20.21,PC07,success,
evt-000991,2026-08-17T11:28:36+0000,logon,APP01,mrossi,synthetic,,3,10.10.20.16,PC02,success,
evt-000996,2026-08-17T11:29:32+0000,logon,FS02,klarsen,synthetic,,3,10.10.20.19,PC05,success,
evt-000997,2026-08-17T11:29:49+0000,logon,APP01,adm_sarah,synthetic,,3,10.10.20.21,PC07,success,
